Time [s],Packet ID,MOSI,MISO
5.0028117000,0,0xCA,0x00
5.0028925500,0,0x00,0x00
5.0029734000,0,0xE8,0x00
5.0030542500,0,0x24,0x00
5.0031351000,0,0xBC,0x00
5.0033426000,1,0x00,0xCA
5.0035481500,2,0x00,0x00
5.0037564500,3,0x00,0xF3
5.0039623500,4,0x00,0x2E
5.0040432000,4,0x00,0x00
5.0041240500,4,0x00,0x00
5.0042049000,4,0x00,0x00
5.0044105000,5,0x00,0x11
5.0044913500,5,0x00,0xD4
5.0047166500,6,0xC9,0x00
5.0047974500,6,0x00,0x00
5.0048783000,6,0xE8,0x00
5.0049591500,6,0x24,0x00
5.0050400000,6,0x00,0x00
5.0051208500,6,0x00,0x00
5.0052017000,6,0x00,0x00
5.0052825000,6,0x52,0x00
5.0053633500,6,0x5C,0x00
5.0055709000,7,0x00,0xC9
5.0057764500,8,0x00,0x00
5.0059908500,9,0xCA,0x00
5.0060717000,9,0x00,0x00
5.0061525500,9,0x10,0x00
5.0062334000,9,0x00,0x00
5.0064409500,10,0x00,0xCA
5.0066464500,11,0x00,0x00
5.0068548000,12,0x00,0xF3
5.0070607000,13,0x00,0xA0
5.0071415000,13,0x00,0x03
5.0072223500,13,0x00,0x10
5.0073032000,13,0x00,0x00
5.0075201000,14,0xCA,0x00
5.0076009000,14,0x00,0x00
5.0076817500,14,0xE8,0x00
5.0077626000,14,0x24,0x00
5.0079701500,15,0x00,0xCA
5.0081756500,16,0x00,0x00
5.0083840000,17,0x00,0xF3
5.0085898500,18,0x00,0x52
5.0086707000,18,0x00,0x00
5.0087515500,18,0x00,0x00
5.0088324000,18,0x00,0x00
5.0090508500,19,0xC9,0x00
5.0091317000,19,0x00,0x00
5.0092125500,19,0xE8,0x00
5.0092933500,19,0x24,0x00
5.0093742000,19,0x00,0x00
5.0094550500,19,0x00,0x00
5.0095359000,19,0x00,0x00
5.0096167000,19,0x52,0x00
5.0098242500,20,0x00,0xC9
5.0100297500,21,0x00,0x00
5.0102471000,22,0xCA,0x00
5.0103279500,22,0x00,0x00
5.0104088000,22,0x10,0x00
5.0104896000,22,0x14,0x00
5.0106971500,23,0x00,0xCA
5.0109026500,24,0x00,0x00
5.0111109500,25,0x00,0xF3
5.0113168500,26,0x00,0x2D
5.0113977000,26,0x00,0x08
5.0114785000,26,0x00,0x7C
5.0115593500,26,0x00,0x80
5.0117776000,27,0xCA,0x00
5.0118584500,27,0x02,0x00
5.0119392500,27,0x07,0x00
5.0120201000,27,0xBC,0x00
5.0122276500,28,0x00,0xCA
5.0124331500,29,0x00,0x00
5.0126414500,30,0x00,0xF3
5.0128473500,31,0x00,0x00
5.0129281500,31,0x00,0x3F
5.0130090000,31,0x00,0x00
5.0130898500,31,0x00,0x00
5.0142999500,32,0xCA,0x00
5.0143808000,32,0x0C,0x00
5.0144616500,32,0x00,0x00
5.0145424500,32,0x0C,0x00
5.0147500000,33,0x00,0xCA
5.0149555500,34,0x00,0x00
5.0151638500,35,0x00,0xF3
5.0153697500,36,0x00,0x9E
5.0154506000,36,0x00,0xD0
5.0155314000,36,0x00,0xAD
5.0156122500,36,0x00,0x10
5.0158328500,37,0xC9,0x00
5.0159136500,37,0x00,0x00
5.0159945000,37,0x10,0x00
5.0160753500,37,0x8C,0x00
5.0161562000,37,0x13,0x00
5.0162370000,37,0x4A,0x00
5.0163178500,37,0x13,0x00
5.0163987000,37,0x4A,0x00
5.0166062000,38,0x00,0xC9
5.0168117000,39,0x00,0x00
5.0170285500,40,0xCA,0x00
5.0171094000,40,0x00,0x00
5.0171902500,40,0x10,0x00
5.0172711000,40,0x00,0x00
5.0174786000,41,0x00,0xCA
5.0176841000,42,0x00,0x00
5.0178924500,43,0x00,0xF3
5.0180983000,44,0x00,0xA0
5.0181791500,44,0x00,0x03
5.0182600000,44,0x00,0x10
5.0183408500,44,0x00,0x00
5.0185590000,45,0xCA,0x00
5.0186398500,45,0x00,0x00
5.0187207000,45,0x13,0x00
5.0188015000,45,0xF4,0x00
5.0190090500,46,0x00,0xCA
5.0192145500,47,0x00,0x00
5.0194229000,48,0x00,0xF3
5.0196288000,49,0x00,0x01
5.0197096500,49,0x00,0x00
5.0197904500,49,0x00,0x00
5.0198713000,49,0x00,0x00
5.0200945500,50,0xC9,0x00
5.0201754000,50,0x00,0x00
5.0202562500,50,0x14,0x00
5.0203371000,50,0xA0,0x00
5.0204179000,50,0x00,0x00
5.0204987500,50,0x00,0x00
5.0205796000,50,0x01,0x00
5.0206604500,50,0x02,0x00
5.0208680000,51,0x00,0xC9
5.0210735000,52,0x00,0x00
5.0212896000,53,0xCA,0x00
5.0213704500,53,0x00,0x00
5.0214513000,53,0x14,0x00
5.0215321500,53,0xA0,0x00
5.0217396500,54,0x00,0xCA
5.0219451500,55,0x00,0x00
5.0221535000,56,0x00,0xF3
5.0223594000,57,0x00,0x02
5.0224402500,57,0x00,0x01
5.0225211000,57,0x00,0x00
5.0226019000,57,0x00,0x00
5.0228220500,58,0xC9,0x00
5.0229029000,58,0x0C,0x00
5.0229837500,58,0x00,0x00
5.0230646000,58,0x0C,0x00
5.0231454500,58,0xEF,0x00
5.0232263000,58,0x52,0x00
5.0233071500,58,0x2F,0x00
5.0233880000,58,0x61,0x00
5.0235955500,59,0x00,0xC9
5.0238010500,60,0x00,0x00
5.0260026000,61,0xCA,0x00
5.0260834500,61,0x00,0x00
5.0261643000,61,0x10,0x00
5.0262451500,61,0x8C,0x00
5.0264527000,62,0x00,0xCA
5.0266582000,63,0x00,0x00
5.0268665000,64,0x00,0xF3
5.0270724000,65,0x00,0x4A
5.0271532500,65,0x00,0x13
5.0272341000,65,0x00,0x4A
5.0273149000,65,0x00,0x13
5.0295163000,66,0xCA,0x00
5.0295971500,66,0x00,0x00
5.0296780000,66,0x10,0x00
5.0297588500,66,0x8C,0x00
5.0299663500,67,0x00,0xCA
5.0301718500,68,0x00,0x00
5.0303802000,69,0x00,0xF3
5.0305860500,70,0x00,0x4A
5.0306669000,70,0x00,0x13
5.0307477500,70,0x00,0x4A
5.0308286000,70,0x00,0x13
5.0330299500,71,0xCA,0x00
5.0331108000,71,0x00,0x00
5.0331916000,71,0x10,0x00
5.0332724500,71,0x8C,0x00
5.0334800000,72,0x00,0xCA
5.0336855000,73,0x00,0x00
5.0338938500,74,0x00,0xF3
5.0340997000,75,0x00,0x4A
5.0341805500,75,0x00,0x13
5.0342614000,75,0x00,0x4A
5.0343422500,75,0x00,0x13
5.0365436500,76,0xCA,0x00
5.0366245000,76,0x00,0x00
5.0367053000,76,0x10,0x00
5.0367861500,76,0x8C,0x00
5.0369937000,77,0x00,0xCA
5.0371992000,78,0x00,0x00
5.0374075500,79,0x00,0xF3
5.0376134000,80,0x00,0x4A
5.0376942500,80,0x00,0x13
5.0377751000,80,0x00,0x4A
5.0378559500,80,0x00,0x13
5.0400573500,81,0xCA,0x00
5.0401382000,81,0x00,0x00
5.0402190500,81,0x10,0x00
5.0402998500,81,0x8C,0x00
5.0405074000,82,0x00,0xCA
5.0407129000,83,0x00,0x00
5.0409212500,84,0x00,0xF3
5.0411271500,85,0x00,0x4A
5.0412079500,85,0x00,0x13
5.0412888000,85,0x00,0x4A
5.0413696500,85,0x00,0x13
5.0435711500,86,0xCA,0x00
5.0436519500,86,0x00,0x00
5.0437328000,86,0x10,0x00
5.0438136500,86,0x8C,0x00
5.0440212000,87,0x00,0xCA
5.0442266500,88,0x00,0x00
5.0444350000,89,0x00,0xF3
5.0446409000,90,0x00,0x4A
5.0447217500,90,0x00,0x13
5.0448025500,90,0x00,0x4A
5.0448834000,90,0x00,0x13
5.0470847500,91,0xCA,0x00
5.0471656000,91,0x00,0x00
5.0472464500,91,0x10,0x00
5.0473273000,91,0x8C,0x00
5.0475348500,92,0x00,0xCA
5.0477403500,93,0x00,0x00
5.0479486500,94,0x00,0xF3
5.0481545500,95,0x00,0x4A
5.0482354000,95,0x00,0x13
5.0483162500,95,0x00,0x4A
5.0483970500,95,0x00,0x13
5.0505984500,96,0xCA,0x00
5.0506793000,96,0x00,0x00
5.0507601500,96,0x10,0x00
5.0508410000,96,0x8C,0x00
5.0510485000,97,0x00,0xCA
5.0512540000,98,0x00,0x00
5.0514623500,99,0x00,0xF3
5.0516682000,100,0x00,0x4A
5.0517490500,100,0x00,0x13
5.0518298500,100,0x00,0x4A
5.0519107000,100,0x00,0x13
5.0541120000,101,0xCA,0x00
5.0541928000,101,0x00,0x00
5.0542736500,101,0x10,0x00
5.0543545000,101,0x8C,0x00
5.0545620500,102,0x00,0xCA
5.0547675500,103,0x00,0x00
5.0549758500,104,0x00,0xF3
5.0551817500,105,0x00,0x4A
5.0552625500,105,0x00,0x13
5.0553434000,105,0x00,0x4A
5.0554242500,105,0x00,0x13
5.0576257000,106,0xCA,0x00
5.0577065500,106,0x00,0x00
5.0577873500,106,0x10,0x00
5.0578682000,106,0x8C,0x00
5.0580757500,107,0x00,0xCA
5.0582812500,108,0x00,0x00
5.0584896000,109,0x00,0xF3
5.0586954500,110,0x00,0x4A
5.0587763000,110,0x00,0x13
5.0588571000,110,0x00,0x4A
5.0589379500,110,0x00,0x13
5.0611393000,111,0xCA,0x00
5.0612201500,111,0x00,0x00
5.0613010000,111,0x10,0x00
5.0613818000,111,0x8C,0x00
5.0615893500,112,0x00,0xCA
5.0617948500,113,0x00,0x00
5.0620032000,114,0x00,0xF3
5.0622090500,115,0x00,0x4A
5.0622899000,115,0x00,0x13
5.0623707500,115,0x00,0x4A
5.0624516000,115,0x00,0x13
5.0646530500,116,0xCA,0x00
5.0647338500,116,0x00,0x00
5.0648147000,116,0x10,0x00
5.0648955500,116,0x8C,0x00
5.0651031000,117,0x00,0xCA
5.0653086000,118,0x00,0x00
5.0655169500,119,0x00,0xF3
5.0657228000,120,0x00,0x4A
5.0658036500,120,0x00,0x13
5.0658845000,120,0x00,0x4A
5.0659653000,120,0x00,0x13
5.0681667500,121,0xCA,0x00
5.0682476000,121,0x00,0x00
5.0683284500,121,0x10,0x00
5.0684093000,121,0x8C,0x00
5.0686168500,122,0x00,0xCA
5.0688223500,123,0x00,0x00
5.0690307000,124,0x00,0xF3
5.0692366000,125,0x00,0x4A
5.0693174500,125,0x00,0x13
5.0693983000,125,0x00,0x4A
5.0694791500,125,0x00,0x13
5.0716807000,126,0xCA,0x00
5.0717615500,126,0x00,0x00
5.0718424000,126,0x10,0x00
5.0719232500,126,0x8C,0x00
5.0721308000,127,0x00,0xCA
5.0723363000,128,0x00,0x00
5.0725446500,129,0x00,0xF3
5.0727505000,130,0x00,0x4A
5.0728313500,130,0x00,0x13
5.0729122000,130,0x00,0x4A
5.0729930500,130,0x00,0x13
5.0751945500,131,0xCA,0x00
5.0752754000,131,0x00,0x00
5.0753562500,131,0x10,0x00
5.0754371000,131,0x8C,0x00
5.0756446500,132,0x00,0xCA
5.0758501500,133,0x00,0x00
5.0760585000,134,0x00,0xF3
5.0762644000,135,0x00,0x4A
5.0763452500,135,0x00,0x13
5.0764261000,135,0x00,0x4A
5.0765069500,135,0x00,0x13
5.0787085000,136,0xCA,0x00
5.0787893000,136,0x00,0x00
5.0788701500,136,0x10,0x00
5.0789510000,136,0x8C,0x00
5.0791585500,137,0x00,0xCA
5.0793640500,138,0x00,0x00
5.0795724000,139,0x00,0xF3
5.0797783000,140,0x00,0x4A
